date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jan%202022%2023:47:29%20GMT	http://marqgray.github.io/?p=3626	C:/My%20Web%20Sites/Portfolio/indexc060.html	(from http://marqgray.github.io/portfolio/meal-finder-ts/)
17:47:29	8412/8412	---M--	200	added ('OK')	image/jpeg	etag:%2261da4ec0-20dc%22	http://marqgray.github.io/wp-content/uploads/2017/01/portrait5.jpg	C:/My%20Web%20Sites/Portfolio/wp-content/uploads/2017/01/portrait5.jpg	(from http://marqgray.github.io/portfolio/javascript-dom-array-methods/)
17:47:30	805/805	---MC-	200	added ('OK')	application/rss+xml	etag:%222205cc7a731849515e018cec3b58118b%22	http://marqgray.github.io/portfolio/javascript-dom-array-methods/feed/	C:/My%20Web%20Sites/Portfolio/portfolio/javascript-dom-array-methods/feed/index.html	(from http://marqgray.github.io/portfolio/javascript-dom-array-methods/)
17:47:30	1932/1932	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:30%20GMT	http://marqgray.github.io/wp-json/wp/v2/portfolio/3624	C:/My%20Web%20Sites/Portfolio/wp-json/wp/v2/portfolio/3624.json	(from http://marqgray.github.io/portfolio/javascript-dom-array-methods/)
17:47:30	2538/2538	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:30%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Fjavascript-dom-array-methods%2F	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embed106f.json	(from http://marqgray.github.io/portfolio/javascript-dom-array-methods/)
17:47:31	2656/2656	---MCZ	200	added ('OK')	text/xml	date:Thu,%2013%20Jan%202022%2023:47:31%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Fjavascript-dom-array-methods%2F&format=xml	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embed7e3f	(from http://marqgray.github.io/portfolio/javascript-dom-array-methods/)
17:47:31	8079/8079	---M--	200	added ('OK')	image/jpeg	etag:%2261da4ec1-1f8f%22	http://marqgray.github.io/wp-content/uploads/2017/01/portrait6.jpg	C:/My%20Web%20Sites/Portfolio/wp-content/uploads/2017/01/portrait6.jpg	(from http://marqgray.github.io/portfolio/infinite-scroll-blog-ts/)
17:47:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jan%202022%2023:47:31%20GMT	http://marqgray.github.io/?p=3624	C:/My%20Web%20Sites/Portfolio/indexadf1.html	(from http://marqgray.github.io/portfolio/javascript-dom-array-methods/)
17:47:31	787/787	---MC-	200	added ('OK')	application/rss+xml	etag:%22392fb504009c5c8f11efeba124635865%22	http://marqgray.github.io/portfolio/infinite-scroll-blog-ts/feed/	C:/My%20Web%20Sites/Portfolio/portfolio/infinite-scroll-blog-ts/feed/index.html	(from http://marqgray.github.io/portfolio/infinite-scroll-blog-ts/)
17:47:31	1914/1914	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:31%20GMT	http://marqgray.github.io/wp-json/wp/v2/portfolio/3622	C:/My%20Web%20Sites/Portfolio/wp-json/wp/v2/portfolio/3622.json	(from http://marqgray.github.io/portfolio/infinite-scroll-blog-ts/)
17:47:31	2504/2504	---MCZ	200	added ('OK')	application/json	date:Thu,%2013%20Jan%202022%2023:47:31%20GMT	http://marqgray.github.io/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmarqgray.github.io%2Fportfolio%2Finfinite-scroll-blog-ts%2F	C:/My%20Web%20Sites/Portfolio/wp-json/oembed/1.0/embed1d1c.json	(from http://marqgray.github.io/portfolio/infinite-scroll-blog-ts/)
